es,chord_port,probe_port,z_chord_cm,z_probe_cm,window,L_probe_cm2,L_chord_cm2,ratio,te_used_ev,te_implied_ev,te_semiquant_fraction,te_sigma_sys_ev,pull,n_edge_left_over_axis,n_edge_right_over_axis,te_row_measured_fraction
3,29,29,1045.15,1045.15,16.750ms,4.36596e+14,4.4233e+14,0.987037,1.7215,1.67715,0.333333,0.630374,0.0703429,0.0610194,0.100281,1
3,29,29,1045.15,1045.15,17.750ms,4.40711e+14,4.54818e+14,0.968984,1.68426,1.5814,0.333333,0.621065,0.165617,0.0347511,0.0987703,1
3,29,29,1045.15,1045.15,18.750ms,4.36501e+14,4.71056e+14,0.926645,1.71867,1.47577,0.333333,0.629668,0.385758,0.0477489,0.093556,1
3,40,41,1396.6,1428.55,15.000-19.500ms,3.75147e+14,5.94696e+14,0.630821,1.0235,0.407286,0.980392,0.455875,1.35172,0.0264409,-0.0329559,0
3,40,41,1396.6,1428.55,15.750ms,3.84292e+14,6.05037e+14,0.635155,1.04047,0.41975,0.980392,0.460118,1.34905,0.0234032,-0.0307975,0
3,40,41,1396.6,1428.55,16.750ms,3.81189e+14,5.99383e+14,0.635969,1.0168,0.41125,1,0.454199,1.33322,0.0170963,-0.0346795,0
3,40,41,1396.6,1428.55,17.750ms,3.76767e+14,5.91597e+14,0.636864,0.992815,0.402681,1,0.448204,1.31666,0.0184175,-0.025077,0
3,40,41,1396.6,1428.55,18.750ms,3.58339e+14,5.82768e+14,0.614891,1.04469,0.394987,0.960784,0.461172,1.4088,0.0484376,-0.0418118,0
4,20,21,757.6,789.55,15.000-19.500ms,2.86611e+14,7.49636e+14,0.382333,1.82056,0.266127,0.32549,0.65514,2.37267,0.0305959,0.0136826,0
4,20,21,757.6,789.55,15.750ms,2.99554e+14,7.76764e+14,0.385643,1.92168,0.285794,0.313725,0.680421,2.40423,0.0167332,0.001461,0
4,20,21,757.6,789.55,16.750ms,2.91667e+14,7.5862e+14,0.384471,1.84249,0.272353,0.333333,0.660622,2.37675,0.0340556,0.0250929,0
4,20,21,757.6,789.55,17.750ms,2.82672e+14,7.41296e+14,0.381321,1.78187,0.259094,0.333333,0.645467,2.35918,0.0400377,0.0195784,0
4,20,21,757.6,789.55,18.750ms,2.7255e+14,7.21862e+14,0.377565,1.72607,0.24606,0.333333,0.631518,2.34358,0.0322885,0.00878434,0
4,29,29,1045.15,1045.15,15.000-19.500ms,1.42246e+14,3.82732e+14,0.37166,1.44723,0.199908,0.807843,0.561807,2.22019,0.175668,-0.0244606,0
4,29,29,1045.15,1045.15,15.750ms,1.52969e+14,4.04518e+14,0.378152,1.51573,0.216747,0.803922,0.578932,2.24375,0.141248,-0.0410811,0
4,29,29,1045.15,1045.15,16.750ms,1.46616e+14,3.89797e+14,0.376134,1.46095,0.20669,0.803922,0.565237,2.21899,0.196574,-0.0410504,0
4,29,29,1045.15,1045.15,17.750ms,1.38457e+14,3.75931e+14,0.368305,1.41856,0.192426,0.823529,0.554641,2.21069,0.153393,-0.0174839,0
4,29,29,1045.15,1045.15,18.750ms,1.30942e+14,3.6068e+14,0.363042,1.38216,0.182168,0.823529,0.54554,2.19964,0.216607,0.00610947,0
4,40,41,1396.6,1428.55,15.000-19.500ms,1.87249e+13,9.66636e+13,0.193712,0.99892,0.0374839,1,0.44973,2.13781,0.37861,-0.344272,0
4,40,41,1396.6,1428.55,15.750ms,2.14496e+13,1.04491e+14,0.205278,1.02562,0.0432188,1,0.456406,2.15248,0.36217,-0.344836,0
4,40,41,1396.6,1428.55,16.750ms,1.98122e+13,9.92332e+13,0.199653,0.998394,0.0397974,1,0.449598,2.13212,0.282658,-0.385981,0
4,40,41,1396.6,1428.55,17.750ms,1.79387e+13,9.41112e+13,0.190611,0.986067,0.0358265,1,0.446517,2.12812,0.430491,-0.296143,0
4,40,41,1396.6,1428.55,18.750ms,1.56992e+13,8.88192e+13,0.176754,0.977784,0.030548,1,0.444446,2.13127,0.457037,-0.346243,0
